participant_code,condition_code,condition_name,condition_hz,condition_type,stimulus_type,trialn,png_filename,focal_x_norm,focal_y_norm,detail_raw,detail,r_directionality_raw,r_directionality,theta_directionality_raw,theta_directionality,brightness_raw,brightness,contrast_raw,contrast
TFS7671,4,15 Hz,15.0,EXPERIMENTAL,LIGHT,16,saveTime_2510241903__sessionTime_202510241700__participant_TFS7671__trialN_16__trialT_4__fileType_cropped.png,0.0,0.0,0.018162085,0.8289548,0.2623705,0.36270162,0.30606392,0.3920682,0.8904129,0.8904129,0.2905621,0.2905621
TFS7671,4,15 Hz,15.0,EXPERIMENTAL,LIGHT,16,saveTime_2510241903__sessionTime_202510241700__participant_TFS7671__trialN_16__trialT_4__fileType_uncropped.png,0.0,0.0,0.018339965,0.8370736,0.26446593,0.36559835,0.3045097,0.39007726,0.88926595,0.88926595,0.29185358,0.29185358
BOE4754,3,10 Hz,10.0,EXPERIMENTAL,LIGHT,17,saveTime_2510241905__sessionTime_202510241700__participant_BOE4754__trialN_17__trialT_3__fileType_cropped.png,0.0,0.0,0.00079104915,0.036105108,0.260234,0.3597481,0.26799542,0.34330243,0.8417287,0.8417287,0.07719294,0.07719294
BOE4754,3,10 Hz,10.0,EXPERIMENTAL,LIGHT,17,saveTime_2510241905__sessionTime_202510241700__participant_BOE4754__trialN_17__trialT_3__fileType_uncropped.png,0.0,0.0,0.000796779,0.036366627,0.25637755,0.35441694,0.27118278,0.34738544,0.84079117,0.84079117,0.07671986,0.07671986
CFH2412,3,10 Hz,10.0,EXPERIMENTAL,LIGHT,17,saveTime_2510241906__sessionTime_202510241700__participant_CFH2412__trialN_17__trialT_3__fileType_cropped.png,0.0,0.0,0.003181049,0.1451896,0.46388417,0.64127463,0.159587,0.20443112,0.872317,0.872317,0.1546034,0.1546034
CFH2412,3,10 Hz,10.0,EXPERIMENTAL,LIGHT,17,saveTime_2510241906__sessionTime_202510241700__participant_CFH2412__trialN_17__trialT_3__fileType_uncropped.png,0.0,0.0,0.0032376768,0.14777422,0.46516657,0.6430474,0.1599884,0.20494533,0.8699453,0.8699453,0.1551805,0.1551805
QSJ9035,3,10 Hz,10.0,EXPERIMENTAL,LIGHT,17,saveTime_2510241906__sessionTime_202510241700__participant_QSJ9035__trialN_17__trialT_3__fileType_cropped.png,0.0,0.0,0.008543381,0.38993743,0.49239773,0.6806918,0.19951075,0.25557348,0.9971098,0.9971098,0.009558497,0.009558497
QSJ9035,3,10 Hz,10.0,EXPERIMENTAL,LIGHT,17,saveTime_2510241906__sessionTime_202510241700__participant_QSJ9035__trialN_17__trialT_3__fileType_uncropped.png,0.0,0.0,0.008883439,0.4054584,0.49313593,0.6817123,0.19970551,0.255823,0.9969924,0.9969924,0.0097330995,0.0097330995
TFS7671,3,10 Hz,10.0,EXPERIMENTAL,LIGHT,17,saveTime_2510241906__sessionTime_202510241700__participant_TFS7671__trialN_17__trialT_3__fileType_cropped.png,0.0,0.0,0.0005676164,0.025907176,0.29251212,0.40436947,0.27880892,0.35715452,0.49518344,0.49518344,0.14529708,0.14529708
TFS7671,3,10 Hz,10.0,EXPERIMENTAL,LIGHT,17,saveTime_2510241906__sessionTime_202510241700__participant_TFS7671__trialN_17__trialT_3__fileType_uncropped.png,0.0,0.0,0.00058052177,0.026496204,0.29241332,0.4042329,0.27921844,0.35767913,0.4981694,0.4981694,0.14448734,0.14448734
