participant_code,condition_code,condition_name,condition_hz,condition_type,stimulus_type,trialn,png_filename
P375,A02,,,VALIDATION,IMAGE,10,saveTime_2510251331__sessionTime_202510251200__participant_P375__trialN_10__trialT_A02__fileType_cropped.png
P376,A04,,,VALIDATION,IMAGE,10,saveTime_2510251332__sessionTime_202510251200__participant_P376__trialN_10__trialT_A04__fileType_cropped.png
P377,A06,,,VALIDATION,IMAGE,10,saveTime_2510251332__sessionTime_202510251200__participant_P377__trialN_10__trialT_A06__fileType_cropped.png
P373,2,5 Hz,5.0,EXPERIMENTAL,LIGHT,11,saveTime_2510251335__sessionTime_202510251200__participant_P373__trialN_11__trialT_2__fileType_cropped.png
P376,2,5 Hz,5.0,EXPERIMENTAL,LIGHT,11,saveTime_2510251335__sessionTime_202510251200__participant_P376__trialN_11__trialT_2__fileType_cropped.png
P374,2,5 Hz,5.0,EXPERIMENTAL,LIGHT,11,saveTime_2510251335__sessionTime_202510251200__participant_P374__trialN_11__trialT_2__fileType_cropped.png
P375,2,5 Hz,5.0,EXPERIMENTAL,LIGHT,11,saveTime_2510251335__sessionTime_202510251200__participant_P375__trialN_11__trialT_2__fileType_cropped.png
P377,2,5 Hz,5.0,EXPERIMENTAL,LIGHT,11,saveTime_2510251336__sessionTime_202510251200__participant_P377__trialN_11__trialT_2__fileType_cropped.png
P376,5,20 Hz,20.0,EXPERIMENTAL,LIGHT,12,saveTime_2510251345__sessionTime_202510251200__participant_P376__trialN_12__trialT_5__fileType_cropped.png
P374,5,20 Hz,20.0,EXPERIMENTAL,LIGHT,12,saveTime_2510251345__sessionTime_202510251200__participant_P374__trialN_12__trialT_5__fileType_cropped.png
P375,5,20 Hz,20.0,EXPERIMENTAL,LIGHT,12,saveTime_2510251345__sessionTime_202510251200__participant_P375__trialN_12__trialT_5__fileType_cropped.png
P373,5,20 Hz,20.0,EXPERIMENTAL,LIGHT,12,saveTime_2510251346__sessionTime_202510251200__participant_P373__trialN_12__trialT_5__fileType_cropped.png
P377,5,20 Hz,20.0,EXPERIMENTAL,LIGHT,12,saveTime_2510251346__sessionTime_202510251200__participant_P377__trialN_12__trialT_5__fileType_cropped.png
P373,3,10 Hz,10.0,EXPERIMENTAL,LIGHT,13,saveTime_2510251349__sessionTime_202510251200__participant_P373__trialN_13__trialT_3__fileType_cropped.png
P374,3,10 Hz,10.0,EXPERIMENTAL,LIGHT,13,saveTime_2510251349__sessionTime_202510251200__participant_P374__trialN_13__trialT_3__fileType_cropped.png
P375,3,10 Hz,10.0,EXPERIMENTAL,LIGHT,13,saveTime_2510251349__sessionTime_202510251200__participant_P375__trialN_13__trialT_3__fileType_cropped.png
